city,pollutant_id,pollutant_avg
Kalyan,OZONE,25.940549828178693
Kalyan,PM10,25.940549828178693
Kalyan,PM2.5,25.940549828178693
Kalyan,SO2,25.940549828178693
Kanchipuram,CO,20.0
Kanchipuram,NH3,4.0
Kanchipuram,NO2,5.0
Kanchipuram,OZONE,3.0
Kanchipuram,PM10,72.0
Kanchipuram,PM2.5,60.0
Kanchipuram,SO2,25.940549828178693
Kanpur,CO,39.666666666666664
Kanpur,NH3,2.0
Kanpur,NO2,29.666666666666668
Kanpur,OZONE,21.0
Kanpur,PM10,49.666666666666664
Kanpur,PM2.5,49.0
Kanpur,SO2,12.0
Karauli,CO,27.0
Karauli,NH3,2.0
Karauli,NO2,16.0
Karauli,OZONE,29.0
Karauli,PM10,36.0
Karauli,PM2.5,29.0
Karauli,SO2,8.0
Karur,CO,6.0
Karur,NH3,3.0
Karur,NO2,6.0
Karur,OZONE,8.0
Karur,PM10,62.0
Karur,PM2.5,42.0
Karur,SO2,15.0
Karwar,CO,8.0
Karwar,NH3,9.0
Karwar,NO2,15.0
Karwar,PM10,22.0
Karwar,PM2.5,19.0
Karwar,SO2,19.0
Kashipur,NH3,2.0
Kashipur,NO2,9.0
Kashipur,OZONE,17.0
Kashipur,PM10,50.0
Kashipur,PM2.5,49.0
Kashipur,SO2,3.0
Katihar,CO,78.0
Katihar,NH3,1.0
Katihar,NO2,14.0
Katihar,OZONE,7.0
Katihar,PM10,32.0
Katihar,PM2.5,39.0
Katihar,SO2,21.0
Katni,CO,32.0
Katni,NH3,3.0
Katni,NO2,26.0
Katni,OZONE,24.0
Katni,PM10,62.0
Katni,PM2.5,34.0
Katni,SO2,19.0
Keonjhar,CO,32.0
Keonjhar,NH3,8.0
Keonjhar,NO2,15.0
Keonjhar,OZONE,18.0
Keonjhar,PM10,56.0
Keonjhar,PM2.5,20.0
Keonjhar,SO2,18.0
Khanna,CO,25.0
Khanna,NH3,7.0
Khanna,NO2,28.0
Khanna,OZONE,31.0
Khanna,PM10,57.0
Khanna,PM2.5,44.0
Khanna,SO2,6.0
Khurja,CO,51.0
Khurja,NH3,1.0
Khurja,NO2,3.0
Khurja,OZONE,6.0
Khurja,PM10,42.0
Khurja,PM2.5,36.0
Khurja,SO2,15.0
Kishanganj,CO,42.0
Kishanganj,NH3,3.0
Kishanganj,NO2,8.0
Kishanganj,OZONE,16.0
Kishanganj,PM10,25.940549828178693
Kishanganj,PM2.5,25.940549828178693
Kishanganj,SO2,8.0
Kohima,CO,9.0
Kohima,NH3,1.0
Kohima,NO2,3.0
Kohima,OZONE,6.0
Kohima,PM10,25.0
Kohima,PM2.5,24.0
Kohima,SO2,67.0
Kolhapur,CO,6.0
Kolhapur,NH3,6.5
Kolhapur,NO2,6.5
Kolhapur,OZONE,10.0
Kolhapur,PM10,28.5
Kolhapur,PM2.5,13.5
Kolhapur,SO2,1.5
Kolkata,CO,17.428571428571427
Kolkata,NH3,11.705792832596956
Kolkata,NO2,39.705792832596956
Kolkata,OZONE,24.857142857142858
Kolkata,PM10,32.84015709376534
Kolkata,PM2.5,32.12587137947963
Kolkata,SO2,9.134364261168384
Kollam,CO,15.0
Kollam,NH3,1.0
Kollam,NO2,9.0
Kollam,OZONE,30.0
Kollam,PM10,28.0
Kollam,PM2.5,23.0
Kollam,SO2,2.0
Koppal,CO,58.0
Koppal,OZONE,4.0
Koppal,PM10,12.0
Koppal,PM2.5,8.0
Korba,CO,18.0
Korba,NH3,1.0
Korba,NO2,6.0
Korba,OZONE,25.940549828178693
Korba,PM10,35.0
Korba,PM2.5,17.0
Korba,SO2,7.0
Kota,CO,57.666666666666664
Kota,NH3,17.96036655211913
Kota,NO2,19.0
Kota,OZONE,6.666666666666667
Kota,PM10,58.0
Kota,PM2.5,37.0
Kota,SO2,5.333333333333333
Kunjemura,CO,59.0
Kunjemura,NH3,2.0
Kunjemura,NO2,3.0
Kunjemura,OZONE,4.0
Kunjemura,PM10,25.0
Kunjemura,PM2.5,12.0
Kunjemura,SO2,4.0
Latur,CO,11.0
Latur,NH3,4.0
Latur,NO2,15.0
Latur,OZONE,22.0
Latur,PM10,18.0
